SalesOrderID,CustomerID,CustomerType
61285,23791,I
61199,506,S
61291,19779,I
61207,578,S
61185,560,S
61202,380,S
61267,505,S
61283,26273,I
61266,668,S
61289,23694,I
61244,110,S
61293,18083,I
61241,451,S
61213,253,S
61253,673,S
61182,146,S
61183,398,S
61260,344,S
61187,200,S
61195,290,S
61281,28808,I
61295,14751,I
61256,325,S
61301,16747,I
61747,18542,I
61766,14599,I
61752,17682,I
61771,14452,I
61757,13654,I
61767,12179,I
61768,14657,I
61738,26101,I
61751,16773,I
61769,12108,I
61754,14917,I
61748,19149,I
61776,26055,I
61775,25865,I
62249,26586,I
62250,23792,I
62252,23199,I
62279,25975,I
62271,14419,I
63143,115,S
63308,25254,I
63341,12452,I
63268,541,S
63133,605,S
63336,19738,I
63340,12448,I
63198,2,S
63148,361,S
63156,199,S
63338,15419,I
63196,56,S
63131,697,S
63247,693,S
63249,343,S
63273,596,S
63354,23334,I
63329,11137,I
63356,20660,I
63351,25888,I
63357,17677,I
63157,650,S
63287,669,S
63289,401,S
63337,15994,I
63314,15945,I
63333,13334,I
63278,181,S
63159,307,S
63202,43,S
63276,559,S
63265,645,S
63149,236,S
63318,14111,I
63224,433,S
63158,289,S
63142,217,S
63838,28060,I
63871,29223,I
63837,11280,I
63873,20703,I
63848,14635,I
63861,19740,I
63859,12445,I
63840,26720,I
63858,11770,I
63850,14001,I
64332,15744,I
64318,26332,I
64365,25886,I
64320,23710,I
64330,15513,I
64371,23073,I
64323,23031,I
64322,23246,I
64354,15380,I
64353,15320,I
64327,18688,I
64349,12022,I
65350,18402,I
65175,644,S
65347,24642,I
65159,272,S
65263,542,S
65200,254,S
65270,20,S
65199,621,S
65354,16217,I
65211,604,S
65357,13740,I
65255,163,S
65373,16007,I
65170,692,S
65385,26642,I
65316,470,S
65345,26244,I
65296,595,S
65179,601,S
65256,438,S
65312,109,S
65343,27457,I
65203,38,S
65252,672,S
65268,55,S
65372,15737,I
65230,379,S
65234,182,S
65212,128,S
65278,308,S
65322,235,S
65225,37,S
65346,24416,I
65258,293,S
65849,13055,I
65829,16975,I
65868,18098,I
65825,25871,I
65820,25353,I
65843,11225,I
65851,12784,I
65852,15999,I
65864,21150,I
66329,28291,I
66362,26609,I
66342,17044,I
66334,24507,I
66353,15842,I
66356,15976,I
66336,22037,I
66340,20102,I
67315,668,S
67337,325,S
67269,560,S
67401,21482,I
67406,18233,I
67297,506,S
67335,673,S
67388,16105,I
67405,18227,I
67334,344,S
67294,290,S
67310,578,S
67360,26045,I
67322,110,S
67399,21357,I
67309,253,S
67266,146,S
67346,451,S
67402,18551,I
67321,505,S
67372,14509,I
67300,380,S
67386,13086,I
67396,23370,I
67379,11791,I
67265,398,S
67373,14393,I
67925,18661,I
67955,18234,I
67951,21584,I
67949,23478,I
67921,20342,I
67927,15911,I
67953,18414,I
67919,23001,I
67946,27295,I
68443,15189,I
68453,27440,I
68413,11012,I
68412,13169,I
68427,13699,I
68426,20081,I
68442,15188,I
68452,24800,I
68459,19204,I
68460,21388,I
68414,28861,I
68417,26450,I
68419,27456,I
68444,16144,I
69413,43,S
69602,17527,I
69524,669,S
69605,13888,I
69591,26063,I
69406,361,S
69552,401,S
69484,217,S
69521,693,S
69408,236,S
69592,25424,I
69421,199,S
69593,24949,I
69407,115,S
69525,343,S
69422,650,S
69529,596,S
69488,2,S
69596,22773,I
69615,13272,I
69500,541,S
69530,181,S
69420,289,S
69594,26043,I
69618,17439,I
69471,697,S
69475,605,S
69604,14625,I
69585,29039,I
69614,11219,I
69487,56,S
69508,433,S
69586,28576,I
69423,307,S
69458,645,S
70218,12418,I
70232,27568,I
70205,11728,I
70241,18800,I
70220,17136,I
70179,22326,I
70210,16142,I
70214,17535,I
70195,13655,I
70177,23152,I
70240,21606,I
70217,13248,I
70233,28064,I
70187,18994,I
70189,16650,I
70184,18408,I
70809,23857,I
70778,20493,I
70768,11883,I
70776,21763,I
70816,21598,I
70815,21410,I
70780,13922,I
71791,644,S
71935,438,S
71970,15550,I
71986,20749,I
71886,109,S
71833,182,S
71962,11679,I
71812,293,S
71941,235,S
71982,18527,I
71861,37,S
71818,672,S
71925,604,S
71775,595,S
71919,38,S
71972,16099,I
71932,20,S
71954,11856,I
71862,379,S
71835,621,S
71977,13441,I
71777,128,S
71980,18840,I
71943,55,S
71981,18592,I
71966,23477,I
71893,163,S
71785,272,S
71790,692,S
71968,22011,I
71880,542,S
71836,254,S
71904,308,S
71856,601,S
72563,26298,I
72568,24388,I
72522,28760,I
72545,16229,I
72524,26243,I
72528,24260,I
72530,20521,I
72553,18435,I
72570,23895,I
72544,11726,I
72531,16858,I
72548,15422,I
73121,27635,I
73133,20356,I
73152,13730,I
73156,18515,I
73169,24400,I
73139,15818,I
73171,24311,I
73132,21733,I
73159,18442,I
73138,15782,I
73125,24237,I
73127,26092,I
73170,23896,I
73130,23820,I
73137,16084,I
73167,28247,I
74163,26528,I
74158,11170,I
74148,11786,I
74167,21696,I
74159,27532,I
74168,19885,I
74157,11884,I
74434,14361,I
74426,27911,I
74422,11236,I
74439,12792,I
74673,13946,I
74659,26781,I
74688,12176,I
74669,15825,I
74687,11633,I
43686,344,S
43665,146,S
43671,200,S
43683,506,S
43669,578,S
43664,397,S
43699,25863,I
43733,27577,I
43866,289,S
43917,218,S
43895,469,S
43911,433,S
43914,401,S
43909,326,S
43869,650,S
43894,559,S
43848,164,S
43849,697,S
43877,73,S
43867,145,S
43860,1,S
44109,91,S
44126,20,S
44078,272,S
44100,293,S
44121,169,S
44075,92,S
44179,25888,I
